Sample;Time (ms);ESP32_X;ESP32_Y;UWB_QF;ESP32_Ax;ESP32_Ay;ESP32_Az;ESP32_Gx;ESP32_Gy;ESP32_Gz;ESP32_Mx;ESP32_My;ESP32_Mz;Robotat_X_mm;Robotat_Y_mm;Robotat_Z_mm;Robotat_Roll;Robotat_Pitch;Robotat_Yaw
100;15960.0232;1422;538;72;0.01;-0.03;-1;-0.1;0.41;0.26;86.72;52.91;4.53;-524.8727798;-1927.453041;232.5731218;-1.285218136;-1.238633427;46.46210904
101;16155.2181;1435;576;82;0.02;-0.03;-1;-0.28;0.35;-0.04;87.89;54.09;6.8;-524.8820782;-1927.461743;232.5639874;-1.273827207;-1.2557136;46.47037257
102;16268.5902;1442;576;74;0.02;-0.03;-1;-0.16;0.47;0.08;85.55;52.91;4.53;-524.8815417;-1927.49238;232.5476557;-1.292303341;-1.248483048;46.47381959
103;16560.9633;1440;588;81;0.01;-0.03;-1;-0.1;0.35;-0.04;86.72;52.91;4.53;-524.8491764;-1927.458048;232.5879782;-1.281698626;-1.246819229;46.46751904
104;16665.8272;1436;568;73;0.01;-0.03;-1;-0.16;0.29;-0.16;87.89;51.73;5.66;-524.8650312;-1927.457929;232.5671464;-1.284210575;-1.238252257;46.46914163
105;16769.1472;1434;565;70;0.02;-0.03;-1;0.02;0.17;0.02;85.55;51.73;3.4;-524.8833299;-1927.466393;232.5677425;-1.287713585;-1.202195178;46.47121406
106;16873.6195;1441;579;76;0.01;-0.03;-1;-0.16;0.41;0.08;85.55;51.73;3.4;-524.8696208;-1927.472353;232.5734645;-1.281490371;-1.21200779;46.47456695
107;16977.7688;1448;575;71;0.02;-0.03;-1;-0.34;-0.02;0.02;86.72;54.09;2.27;-524.8603821;-1927.46532;232.5568348;-1.29064412;-1.240576822;46.4715951
108;17082.3938;1453;584;81;0.01;-0.03;-1;-0.22;0.17;0.08;87.89;50.56;4.53;-524.8787999;-1927.473307;232.5609624;-1.282898994;-1.250965586;46.46444026
109;17187.6225;1448;563;70;0.01;-0.03;-1;-0.04;0.23;0.2;89.06;50.56;5.66;-524.8777866;-1927.454352;232.563585;-1.294088462;-1.202925628;46.47075803
110;17290.9442;1453;562;79;0.02;-0.03;-0.99;-0.28;0.11;0.08;87.89;52.91;4.53;-524.8612761;-1927.459359;232.5651348;-1.306604755;-1.238621074;46.47333248
111;17394.5801;1460;569;74;0.01;-0.03;-1;-0.22;0.29;-0.1;87.89;52.91;4.53;-524.8660445;-1927.480817;232.5692326;-1.285905361;-1.18114643;46.48167311
112;17498.2355;1454;549;69;0.02;-0.03;-1;-0.28;0.35;0.02;87.89;51.73;5.66;-524.8475671;-1927.474499;232.5602323;-1.296334243;-1.244685503;46.47106344
113;17602.1618;1465;553;78;0.01;-0.02;-1;-0.16;0.23;0.08;86.72;51.73;4.53;-524.8716474;-1927.461386;232.572034;-1.287660702;-1.212255839;46.47207266
114;17706.0449;1467;553;72;0.02;-0.03;-1;0.09;0.23;-0.04;85.55;52.91;6.8;-524.8625875;-1927.459359;232.5554043;-1.296586005;-1.268058549;46.46762228
115;17996.458;1452;571;72;0.02;-0.03;-1;-0.28;0.23;0.08;87.89;51.73;6.8;-524.8630047;-1927.457213;232.5617969;-1.288212789;-1.24817166;46.47159986
116;18102.8077;1449;565;72;0.02;-0.03;-0.99;-0.16;0.47;0.02;86.72;51.73;4.53;-524.8696208;-1927.466869;232.5517684;-1.292517053;-1.231827711;46.46362482
117;18207.3215;1448;562;74;0.01;-0.03;-1;-0.46;0.41;0.02;85.55;51.73;5.66;-524.8645544;-1927.462101;232.5610667;-1.298332374;-1.240578253;46.47572459
